hhmm	lucky	repeated digit	stepper	palindrome	math	reason together
1:00	True	None	None	None	1*0=0	1*0=0
1:01	True	None	None	palindrome	1+0=1, 1-0=1, 1=0_1, 1=0+1	palindrome, 1+0=1, 1-0=1, 1=0_1, 1=0+1
1:02	False	None	None	None	None	None
1:03	False	None	None	None	None	None
1:04	False	None	None	None	None	None
1:05	False	None	None	None	None	None
1:06	False	None	None	None	None	None
1:07	False	None	None	None	None	None
1:08	False	None	None	None	None	None
1:09	False	None	None	None	None	None
1:10	True	None	None	None	1-1=0, 1=1+0, 1=1-0	1-1=0, 1=1+0, 1=1-0
1:11	True	repeated digit	None	palindrome	1*1=1, 1/1=1, 1=1*1, 1=1/1	repeated digit, palindrome, 1*1=1, 1/1=1, 1=1*1, 1=1/1
1:12	True	None	None	None	1+1=2	1+1=2
1:13	False	None	None	None	None	None
1:14	False	None	None	None	None	None
1:15	False	None	None	None	None	None
1:16	False	None	None	None	None	None
1:17	False	None	None	None	None	None
1:18	False	None	None	None	None	None
1:19	False	None	None	None	None	None
1:20	False	None	None	None	None	None
1:21	True	None	None	palindrome	1=2-1	palindrome, 1=2-1
1:22	True	None	None	None	1*2=2, 1=2/2	1*2=2, 1=2/2
1:23	True	None	incrementing	None	1+2=3	incrementing, 1+2=3
1:24	False	None	None	None	None	None
1:25	False	None	None	None	None	None
1:26	False	None	None	None	None	None
1:27	False	None	None	None	None	None
1:28	False	None	None	None	None	None
1:29	False	None	None	None	None	None
1:30	False	None	None	None	None	None
1:31	True	None	None	palindrome	None	palindrome
1:32	True	None	None	None	1=3-2	1=3-2
1:33	True	None	None	None	1*3=3, 1=3/3	1*3=3, 1=3/3
1:34	True	None	None	None	1+3=4	1+3=4
1:35	False	None	None	None	None	None
1:36	False	None	None	None	None	None
1:37	False	None	None	None	None	None
1:38	False	None	None	None	None	None
1:39	False	None	None	None	None	None
1:40	False	None	None	None	None	None
1:41	True	None	None	palindrome	None	palindrome
1:42	False	None	None	None	None	None
1:43	True	None	None	None	1=4-3	1=4-3
1:44	True	None	None	None	1*4=4, 1=4/4	1*4=4, 1=4/4
1:45	True	None	None	None	1+4=5	1+4=5
1:46	False	None	None	None	None	None
1:47	False	None	None	None	None	None
1:48	False	None	None	None	None	None
1:49	False	None	None	None	None	None
1:50	False	None	None	None	None	None
1:51	True	None	None	palindrome	None	palindrome
1:52	False	None	None	None	None	None
1:53	False	None	None	None	None	None
1:54	True	None	None	None	1=5-4	1=5-4
1:55	True	None	None	None	1*5=5, 1=5/5	1*5=5, 1=5/5
1:56	True	None	None	None	1+5=6	1+5=6
1:57	False	None	None	None	None	None
1:58	False	None	None	None	None	None
1:59	False	None	None	None	None	None
2:00	True	None	None	None	2*0=0	2*0=0
2:01	False	None	None	None	None	None
2:02	True	None	None	palindrome	2+0=2, 2-0=2, 2=0_2, 2=0+2	palindrome, 2+0=2, 2-0=2, 2=0_2, 2=0+2
2:03	False	None	None	None	None	None
2:04	False	None	None	None	None	None
2:05	False	None	None	None	None	None
2:06	False	None	None	None	None	None
2:07	False	None	None	None	None	None
2:08	False	None	None	None	None	None
2:09	False	None	None	None	None	None
2:10	True	None	decrementing	None	None	decrementing
2:11	True	None	None	None	2-1=1, 2=1+1	2-1=1, 2=1+1
2:12	True	None	None	palindrome	2*1=2, 2/1=2, 2=1*2	palindrome, 2*1=2, 2/1=2, 2=1*2
2:13	True	None	None	None	2+1=3	2+1=3
2:14	False	None	None	None	None	None
2:15	False	None	None	None	None	None
2:16	False	None	None	None	None	None
2:17	False	None	None	None	None	None
2:18	False	None	None	None	None	None
2:19	False	None	None	None	None	None
2:20	True	None	None	None	2-2=0, 2=2+0, 2=2-0	2-2=0, 2=2+0, 2=2-0
2:21	True	None	None	None	2/2=1, 2=2*1, 2=2/1	2/2=1, 2=2*1, 2=2/1
2:22	True	repeated digit	None	palindrome	None	repeated digit, palindrome
2:23	False	None	None	None	None	None
2:24	True	None	None	None	2*2=4, 2+2=4	2*2=4, 2+2=4
2:25	False	None	None	None	None	None
2:26	False	None	None	None	None	None
2:27	False	None	None	None	None	None
2:28	False	None	None	None	None	None
2:29	False	None	None	None	None	None
2:30	False	None	None	None	None	None
2:31	True	None	None	None	2=3-1	2=3-1
2:32	True	None	None	palindrome	None	palindrome
2:33	False	None	None	None	None	None
2:34	True	None	incrementing	None	None	incrementing
2:35	True	None	None	None	2+3=5	2+3=5
2:36	True	None	None	None	2*3=6	2*3=6
2:37	False	None	None	None	None	None
2:38	False	None	None	None	None	None
2:39	False	None	None	None	None	None
2:40	False	None	None	None	None	None
2:41	False	None	None	None	None	None
2:42	True	None	None	palindrome	2=4/2, 2=4-2	palindrome, 2=4/2, 2=4-2
2:43	False	None	None	None	None	None
2:44	False	None	None	None	None	None
2:45	False	None	None	None	None	None
2:46	True	None	None	None	2+4=6	2+4=6
2:47	False	None	None	None	None	None
2:48	True	None	None	None	2*4=8	2*4=8
2:49	False	None	None	None	None	None
2:50	False	None	None	None	None	None
2:51	False	None	None	None	None	None
2:52	True	None	None	palindrome	None	palindrome
2:53	True	None	None	None	2=5-3	2=5-3
2:54	False	None	None	None	None	None
2:55	False	None	None	None	None	None
2:56	False	None	None	None	None	None
2:57	True	None	None	None	2+5=7	2+5=7
2:58	False	None	None	None	None	None
2:59	False	None	None	None	None	None
3:00	True	None	None	None	3*0=0	3*0=0
3:01	False	None	None	None	None	None
3:02	False	None	None	None	None	None
3:03	True	None	None	palindrome	3+0=3, 3-0=3, 3=0_3, 3=0+3	palindrome, 3+0=3, 3-0=3, 3=0_3, 3=0+3
3:04	False	None	None	None	None	None
3:05	False	None	None	None	None	None
3:06	False	None	None	None	None	None
3:07	False	None	None	None	None	None
3:08	False	None	None	None	None	None
3:09	False	None	None	None	None	None
3:10	False	None	None	None	None	None
3:11	False	None	None	None	None	None
3:12	True	None	None	None	3-1=2, 3=1+2	3-1=2, 3=1+2
3:13	True	None	None	palindrome	3*1=3, 3/1=3, 3=1*3	palindrome, 3*1=3, 3/1=3, 3=1*3
3:14	True	None	None	None	3+1=4	3+1=4
3:15	False	None	None	None	None	None
3:16	False	None	None	None	None	None
3:17	False	None	None	None	None	None
3:18	False	None	None	None	None	None
3:19	False	None	None	None	None	None
3:20	False	None	None	None	None	None
3:21	True	None	decrementing	None	3-2=1, 3=2+1	decrementing, 3-2=1, 3=2+1
3:22	False	None	None	None	None	None
3:23	True	None	None	palindrome	None	palindrome
3:24	False	None	None	None	None	None
3:25	True	None	None	None	3+2=5	3+2=5
3:26	True	None	None	None	3*2=6	3*2=6
3:27	False	None	None	None	None	None
3:28	False	None	None	None	None	None
3:29	False	None	None	None	None	None
3:30	True	None	None	None	3-3=0, 3=3+0, 3=3-0	3-3=0, 3=3+0, 3=3-0
3:31	True	None	None	None	3/3=1, 3=3*1, 3=3/1	3/3=1, 3=3*1, 3=3/1
3:32	False	None	None	None	None	None
